PLAYER_NAME,AVG_APPROACH_BIRDIE_OR_BETTER,AVG_APPROACH_BOGEY_OR_WORSE,AVG_APPROACH_PAR,AVG_APPROACH_SHOT_DISTANCE,FAIRWAY_APPROACH_RTP,GIR_PCT_FAIRWAY_BUNKER,GIR_PCT_FAIRWAY,GIR_PCT_OTHER,GIR_PCT_OVERALL,GIR_PCT_100-125,GIR_PCT_OVER_100,GIR_PCT_125-150,GIR_PCT_150-175,GIR_PCT_175-200,GIR_PCT_OVER_200,GIR_PCT_75-100,GIR_PCT_UNDER_100,GIR_PCT_UNDER_125,GIR_PCT_UNDER_75,GREEN_PCT_SAND_SAVES,GREEN_PCT_SCRAMBLE,GREEN_PCT_SCRAMBLE_FRINGE,GREEN_PCT_SCRAMBLE_ROUGH,GREEN_PCT_SCRAMBLE_SAND,FINISHES_FEDEXCUP_BONUS,FINISHES_OFFICIAL_MONEY,FINISHES_TOP10,FINISHES_OFFICIAL_UNOFFICIAL_MONEY,TEE_AVG_APEX,TEE_AVG_BALL_SPEED,TEE_BALL_STRIKING,TEE_AVG_CARRY,TEE_LONGEST_CARRY_DISTANCE,TEE_AVG_CARRY_EFF,TEE_AVG_CLUB_HEAD_SPEED,TEE_AVG_DISTANCE_FROM_CENTER_FR,TEE_DRIVING_ACCURACY_PCT,TEE_AVG_DRIVING_DISTANCE,TEE_AVG_FAIRWAY_BUNKER_TENDENCY_PCT,TEE_AVG_FIR_PCT,TEE_AVG_LAUNCH_ANGLE,TEE_AVG_LEFT_ROUGH_TENDENCY_PCT,TEE_LONGEST_DRIVES,TEE_AVG_RIGHT_ROUGH_TENDENCY_PCT,TEE_AVG_SMASH_FACTOR,TEE_AVG_SPIN_RATE,PUTTING_AVG_ONE_PUTTS,PUTTING_AVG_TWO_PUTTS,PUTTING_AVG_THREE_PUTTS,PUTTING_APPROACH_PERFORMANCE,PUTTING_AVG_DIST_BIRDIE,PUTTING_AVG_DIST_EAGLE,PUTTING_AVG_DIST_MADE,PUTTING_PCT_BIRDIE_OR_BETTER,PUTTING_AVG_OVERALL,PUTTING_AVG_PUTTS,SCORING_AVG_BIRDIES,SCORING_PCT_BIRDIE_OR_BETTER,SCORING_BIRDIE_BOGEY_RATIO,SCORING_BOGEY_AVERAGE,SCORING_EAGLES_PER_HOLE,SCORING_PAR3_AVERAGE,SCORING_PAR4_AVERAGE,SCORING_PAR5_AVERAGE,SCORING_ROUNDS_IN_60S,SCORING_AVG_OVERALL,SCORING_TOTAL_BIRDIES,SCORING_TOTAL_EAGLES,STREAKS_CUTS_MADE,STREAKS_FIRS_MADE,STREAKS_GIRS_MADE,STREAKS_HOLES_UNDER_PAR
Zac Blair,152.9,158.9,158.5,157.5,-0.034,39.5,74.74,51.59,63.47,75.63,57.78,71.14,56.28,47.27,40.65,84.21,85.62,81.25,87.01,50.79,60.6,96.88,60.71,50.96,101000.0,745273,1.0,"$745,273","95' 9""",160.06,348.0,262.7,296.3,2.432,108.0,"23' 7""",62.62,280.9,6.2,62.16,11.35,11.65,359.0,17.84,1.482,2499.7,7.58,9.58,0.06,"2' 4""","10' 10""",,"74' 10""",30.41,1.589,28.61,3.64,20.29,1.19,2.68,1.0,3.08,4.07,4.65,25.0,71.705,240.0,1.0,,0.0,0.0,3.0
Cameron Percy,161.3,164.0,161.6,161.9,-0.104,58.1,79.36,58.75,69.63,82.5,64.64,67.89,68.07,57.89,44.0,79.07,86.61,84.9,91.3,49.06,60.98,90.32,59.74,47.73,70000.0,470679,1.0,"$470,679","96' 5""",165.91,178.0,270.6,299.4,2.46,109.99,"23' 1""",59.21,295.0,6.7,57.83,11.96,20.0,359.0,11.96,1.509,2165.1,6.76,10.49,0.02,"2' 2""","9' 11""","26' 0""","72' 9""",28.24,1.638,29.49,3.56,20.49,1.44,2.27,6.0,3.14,3.98,4.62,17.0,71.07300000000002,160.0,6.0,,3.0,7.0,3.0
Sebastian Cappelen,161.7,161.1,153.6,156.4,-0.065,43.2,77.04,54.97,64.36,76.34,59.24,64.15,55.26,57.95,37.14,81.13,82.64,80.17,83.52,47.73,61.18,95.45,66.43,50.77,,371482,1.0,"$371,482","101' 1""",174.58,303.0,286.7,328.1,2.468,116.15,"22' 0""",51.15,303.7,7.8,51.69,9.39,14.35,368.0,22.78,1.5019999999999998,2422.8,7.21,9.94,,"2' 5""","10' 4""","10' 5""","70' 2""",29.9,1.609,28.96,3.51,20.02,1.22,2.43,5.0,3.09,4.04,4.73,12.0,72.10600000000002,186.0,5.0,,0.0,0.0,5.0
Brian Gay,162.3,159.8,156.1,158.0,-0.065,49.1,76.6,54.4,64.81,77.95,58.23,66.67,60.59,46.71,38.14,86.25,87.5,83.5,88.54,38.53,56.89,89.66,58.22,40.96,101000.0,702647,2.0,"$702,647","99' 1""",162.43,346.0,269.5,310.9,2.468,109.21,"22' 3""",58.68,288.5,7.9,58.05,11.77,13.51,373.0,15.8,1.487,2311.8,7.37,10.02,,"2' 0""","10' 0""","26' 1""","72' 8""",32.38,1.586,28.54,3.89,22.05,1.3,2.59,5.0,3.08,4.01,4.72,24.0,71.407,245.0,5.0,,0.0,1.0,5.0
"Ted Potter, Jr.",162.7,166.2,156.2,159.2,-0.056,58.3,76.41,58.68,68.94,77.46,65.51,70.19,63.97,65.71,50.0,75.0,84.4,81.67,91.8,39.44,57.72,95.83,55.56,41.51,,361540,2.0,"$361,540","93' 1""",166.97,209.0,275.1,302.2,2.45,112.29,"23' 0""",60.65,290.2,7.7,58.3,9.58,18.3,358.0,11.7,1.487,2494.8,6.86,10.36,,"2' 5""","10' 11""",,"76' 4""",27.71,1.646,29.64,3.45,19.57,1.22,2.48,3.0,3.11,4.02,4.74,14.0,71.877,152.0,3.0,,8.0,0.0,3.0
Vaughn Taylor,163.0,167.7,160.3,162.1,-0.076,41.9,71.35,51.65,63.75,83.53,59.33,69.01,65.52,49.04,30.69,74.55,78.05,80.29,80.88,47.01,58.54,89.66,62.81,47.73,110000.0,1148779,2.0,"$1,148,779","106' 0""",160.63,290.0,265.5,296.9,2.476,107.2,"22' 3""",67.84,281.6,7.0,65.96,13.13,12.21,341.0,11.56,1.5,2472.7,7.61,9.79,,"2' 1""","10' 6""","18' 0""","73' 5""",32.33,1.5619999999999998,28.11,3.89,21.86,1.36,2.48,3.0,3.01,4.02,4.72,26.0,70.827,237.0,3.0,,4.0,1.0,5.0
Seamus Power,165.4,150.2,156.6,157.8,-0.173,64.7,79.77,57.84,69.44,82.61,67.89,71.95,71.43,54.9,56.0,68.0,83.78,83.33,91.84,51.35,56.82,84.62,54.84,45.83,,351069,1.0,"$351,069","78' 8""",175.9,83.0,278.9,311.7,2.3680000000000003,117.79,"26' 1""",58.61,304.5,5.9,59.03,8.36,16.67,366.0,14.24,1.493,2323.4,7.22,9.91,0.03,"2' 5""","9' 9""","39' 0""","77' 9""",34.34,1.597,28.75,4.38,25.17,1.59,2.44,5.0,3.01,4.01,4.55,19.0,70.962,140.0,5.0,2.0,0.0,0.0,3.0
Dominic Bozzelli,165.4,167.3,157.4,161.2,-0.065,50.0,77.31,47.74,62.96,70.31,59.46,64.91,57.89,57.41,47.62,83.33,86.21,79.47,87.72,43.48,54.17,95.0,55.91,44.0,,272865,1.0,"$272,865","107' 6""",168.6,359.0,276.1,306.7,2.4330000000000003,113.49,"24' 2""",51.69,299.0,6.2,51.69,11.08,16.0,368.0,20.31,1.491,2653.7,7.86,9.42,0.03,"2' 2""","9' 9""","3' 10""","78' 1""",36.61,1.5730000000000002,28.31,4.19,23.61,1.2,2.97,2.0,3.03,4.05,4.77,14.0,72.277,151.0,2.0,,0.0,0.0,4.0
Jim Herman,166.4,174.7,160.1,164.2,-0.026,56.5,73.97,48.26,64.17,77.06,60.85,67.52,69.95,50.57,39.71,76.36,80.92,79.31,83.51,41.96,51.94,87.1,48.8,44.44,150000.0,1390275,1.0,"$1,390,275","84' 0""",167.67,251.0,267.7,301.2,2.369,112.98,"26' 0""",69.28,285.6,6.3,69.23,9.22,10.03,362.0,12.5,1.486,2475.0,6.27,10.77,,"2' 4""","9' 7""","41' 11""","69' 10""",26.34,1.661,29.9,3.2,18.15,0.88,3.32,4.0,3.19,4.09,4.69,15.0,72.02199999999998,192.0,4.0,,2.0,0.0,5.0
Vincent Whaley,167.2,146.6,153.3,154.8,-0.069,42.9,79.35,52.94,66.67,75.32,60.1,67.02,62.07,45.45,43.55,77.14,86.24,81.72,90.54,29.41,57.89,80.77,55.56,29.41,,207571,1.0,"$207,571","95' 6""",175.2,198.0,282.8,310.4,2.411,117.3,"22' 4""",58.38,300.9,7.3,57.66,8.36,13.77,366.0,17.66,1.495,2757.4,7.37,9.84,,"2' 5""","11' 5""","11' 7""","80' 0""",32.68,1.6130000000000002,29.03,3.87,22.08,1.28,2.71,4.0,3.06,4.04,4.63,14.0,71.47800000000002,147.0,4.0,,1.0,0.0,3.0
